no,departement,officine2019,TauxBac2016,TauxChomage2018,Salaire2015,TauxOuvriers2016,Nom,CommuneSSO,PatientsSSO,EqSport2018,Club2016
80,Somme,193,15.4,10.7,12.83,26.2,Hautes-Pyr�n�es,10,14,2045,1664
81,Tarn,129,17.5,9.6,12.71,19.8,H�rault,8,12,1052,1280
82,Tarn-et-Garonne,81,17.6,10.5,12.58,21.2,Lot,1,2,876,806
83,Var,366,19.3,10.1,13.17,16.7,Loz��re,12,20,1778,2369
84,Vaucluse,198,17.1,11.7,13.08,20.8,Pyr�n�es-Orientales,10,16,1133,1363
85,Vend�e,214,17.3,6.8,12.05,30.8,Tarn,10,13,1793,1735
86,Vienne,147,17,7.2,12.73,21.3,Tarn-et-Garonne,5,9,1351,1265
87,Haute-Vienne,152,17,8.3,12.84,20.7,Loire-Atlantique,8,11,1058,1328
88,Vosges,138,15.6,9.4,12.37,27.5,Maine-et-Loire,8,9,1244,1059
89,Yonne,111,15.6,8.2,12.62,26.4,Mayenne,2,2,1182,1051
90,Territoire de Belfort,49,16.1,9.2,14.23,20.4,Sarthe,1,1,444,334
91,Essonne,349,17.8,7,16.47,16.7,Vend�e,18,25,2103,2658
92,Hauts-de-Seine,468,14.6,6.9,21.95,7.9,Alpes-de-Haute-Provence,16,22,1429,1863
93,Seine-Saint-Denis,405,17.2,11.6,13.55,16.8,Alpes-Maritimes,18,22,1286,1721
94,Val-de-Marne,397,16.9,8,16.68,15.2,Bouches-du-Rh��ne,18,29,1467,1876
95,Val-d'Oise,332,18.2,9.2,15.51,18.5,Hautes-Alpes,13,14,1807,1951
2A,Corse-du-Sud,62,22.4,8.7,12.69,18.9,Var,0,0,239,435
2B,Haute-Corse,72,20.7,9.9,12.54,19,Vaucluse,4,5,354,488
